date,channel,conversions,revenue
2025-05-09,Meta Ads,150,13097.04
2025-05-09,LinkedIn Ads,26,6770.21
2025-05-09,Email Marketing,138,7619.39
2025-05-09,Affiliate Partners,139,13611.08
2025-05-10,Google Ads,392,38967.59
2025-05-10,Meta Ads,200,12065.32
2025-05-10,LinkedIn Ads,146,40656.11
2025-05-10,Email Marketing,76,4368.87
2025-05-10,Affiliate Partners,75,4264.35
2025-05-11,Google Ads,160,20631.46
2025-05-11,Meta Ads,120,10375.25
2025-05-11,LinkedIn Ads,166,42549.65
2025-05-11,Email Marketing,120,7789.58
2025-05-11,Affiliate Partners,104,8126.98
2025-05-12,Google Ads,300,33763.81
2025-05-12,Meta Ads,188,14128.32
2025-05-12,LinkedIn Ads,95,22594.32
2025-05-12,Email Marketing,131,9678.27
2025-05-12,Affiliate Partners,62,5688.07
2025-05-13,Google Ads,579,73023.94
2025-05-13,Meta Ads,334,32288.32
2025-05-13,LinkedIn Ads,93,23458.36
2025-05-13,Email Marketing,63,4416.78
2025-05-13,Affiliate Partners,137,11289.81
2025-05-14,Google Ads,281,32202.43
2025-05-14,Meta Ads,297,28393.27
2025-05-14,LinkedIn Ads,103,27592.78
2025-05-14,Email Marketing,171,13845.99
2025-05-14,Affiliate Partners,142,11057.23
2025-05-15,Google Ads,251,33995.91
2025-05-15,Meta Ads,192,13988.1
2025-05-15,LinkedIn Ads,48,11953.42
2025-05-15,Email Marketing,80,5687.84
2025-05-15,Affiliate Partners,110,10766.32
2025-05-16,Google Ads,117,12075.2
2025-05-16,Meta Ads,190,17609.28
2025-05-16,LinkedIn Ads,63,16319.92
2025-05-16,Email Marketing,87,9333.17
2025-05-16,Affiliate Partners,112,11102.66
2025-05-17,Google Ads,534,68352.21
2025-05-17,Meta Ads,230,24902.77
2025-05-17,LinkedIn Ads,123,32359.2
2025-05-17,Email Marketing,78,4791.06
2025-05-17,Affiliate Partners,277,26037.15
2025-05-18,Google Ads,313,42560.98
2025-05-18,Meta Ads,268,20436.39
2025-05-18,LinkedIn Ads,90,22310.49
2025-05-18,Email Marketing,56,3479.36
2025-05-18,Affiliate Partners,151,13040.51
2025-05-19,Google Ads,144,14178.44
2025-05-19,Meta Ads,187,17618.23
2025-05-19,LinkedIn Ads,28,7425.31
2025-05-19,Email Marketing,76,9017.13
2025-05-19,Affiliate Partners,232,17928.56
2025-05-20,Google Ads,203,27391.55
2025-05-20,Meta Ads,180,11777.32
2025-05-20,LinkedIn Ads,34,8182.76
2025-05-20,Email Marketing,158,12237.59
2025-05-20,Affiliate Partners,131,8122.59
2025-05-21,Google Ads,175,23252.29
2025-05-21,Meta Ads,214,12780.65
2025-05-21,LinkedIn Ads,117,30642.02
2025-05-21,Email Marketing,60,3787.94
2025-05-21,Affiliate Partners,51,3796.5
2025-05-22,Google Ads,377,41198.48
2025-05-22,Meta Ads,167,15835.8
2025-05-22,LinkedIn Ads,44,10343.2
2025-05-22,Email Marketing,52,1941.89
2025-05-22,Affiliate Partners,258,26169.68
2025-05-23,Google Ads,94,10453.84
2025-05-23,Meta Ads,453,49283.07
2025-05-23,LinkedIn Ads,59,14137.36
2025-05-23,Email Marketing,60,4293.09
2025-05-23,Affiliate Partners,74,6227.87
2025-05-24,Google Ads,265,33080.28
2025-05-24,Meta Ads,133,10348.04
2025-05-24,LinkedIn Ads,111,28125.89
2025-05-24,Email Marketing,129,7142.67
2025-05-24,Affiliate Partners,153,13765.49
2025-05-25,Google Ads,469,63327.84
2025-05-25,Meta Ads,299,23402.71
2025-05-25,LinkedIn Ads,65,14523.21
2025-05-25,Email Marketing,122,5189.0
2025-05-25,Affiliate Partners,89,4349.09
2025-05-26,Google Ads,208,24491.0
2025-05-26,Meta Ads,56,4164.23
2025-05-26,LinkedIn Ads,98,25182.62
2025-05-26,Email Marketing,62,4634.21
2025-05-26,Affiliate Partners,175,14475.29
2025-05-27,Google Ads,359,46236.5
2025-05-27,Meta Ads,111,10418.24
2025-05-27,LinkedIn Ads,114,28513.48
2025-05-27,Email Marketing,40,2701.4
2025-05-27,Affiliate Partners,47,3059.68
2025-05-28,Google Ads,305,30247.42
2025-05-28,Meta Ads,192,13774.23
2025-05-28,LinkedIn Ads,102,24134.04
2025-05-28,Email Marketing,135,9520.3
2025-05-28,Affiliate Partners,164,14731.24
2025-05-29,Google Ads,142,14923.07
2025-05-29,Meta Ads,182,14041.76
2025-05-29,LinkedIn Ads,70,16172.28
2025-05-29,Email Marketing,50,3212.89
2025-05-29,Affiliate Partners,185,13696.44
2025-05-30,Google Ads,217,24738.33
2025-05-30,Meta Ads,181,16168.12
2025-05-30,LinkedIn Ads,80,19195.86
2025-05-30,Email Marketing,94,4921.6
2025-05-30,Affiliate Partners,90,8795.55
2025-05-31,Google Ads,616,72048.68
2025-05-31,Meta Ads,225,23746.8
2025-05-31,LinkedIn Ads,69,16245.92
2025-05-31,Email Marketing,94,8325.09
2025-05-31,Affiliate Partners,140,9167.1
2025-06-01,Google Ads,437,48413.11
2025-06-01,Meta Ads,207,21669.45
2025-06-01,LinkedIn Ads,32,8772.21
2025-06-01,Email Marketing,94,8118.11
2025-06-01,Affiliate Partners,286,22236.75
2025-06-02,Google Ads,451,50570.66
2025-06-02,Meta Ads,375,41040.35
2025-06-02,LinkedIn Ads,76,18583.32
2025-06-02,Email Marketing,185,9076.68
2025-06-02,Affiliate Partners,299,20672.9
2025-06-03,Google Ads,75,8491.56
2025-06-03,Meta Ads,146,13124.57
2025-06-03,LinkedIn Ads,67,16376.28
2025-06-03,Email Marketing,100,7479.29
2025-06-03,Affiliate Partners,194,15927.07
2025-06-04,Google Ads,144,14277.12
2025-06-04,Meta Ads,384,28239.16
2025-06-04,LinkedIn Ads,83,19829.48
2025-06-04,Email Marketing,177,14912.29
2025-06-04,Affiliate Partners,108,6157.03
2025-06-05,Google Ads,219,27271.08
2025-06-05,Meta Ads,84,5236.82
2025-06-05,LinkedIn Ads,130,32375.05
2025-06-05,Email Marketing,42,1556.44
2025-06-05,Affiliate Partners,244,20043.56
2025-06-06,Google Ads,134,17472.64
2025-06-06,Meta Ads,351,27378.31
2025-06-06,LinkedIn Ads,50,12205.21
2025-06-06,Email Marketing,94,8544.77
2025-06-06,Affiliate Partners,170,14694.82
2025-06-07,Google Ads,353,39415.35
2025-06-07,Meta Ads,97,11158.5
2025-06-07,LinkedIn Ads,56,15356.41
2025-06-07,Email Marketing,200,17976.3
2025-06-07,Affiliate Partners,116,10299.47
2025-06-08,Google Ads,257,25384.14
2025-06-08,Meta Ads,86,9042.22
2025-06-08,LinkedIn Ads,59,13423.37
2025-06-08,Email Marketing,62,4258.69
2025-06-08,Affiliate Partners,77,7256.78
2025-06-09,Google Ads,333,49228.24
2025-06-09,Meta Ads,116,9837.22
2025-06-09,LinkedIn Ads,53,13041.19
2025-06-09,Email Marketing,148,12491.88
2025-06-09,Affiliate Partners,230,14331.18
2025-06-10,Google Ads,293,38111.38
2025-06-10,Meta Ads,296,30580.52
2025-06-10,LinkedIn Ads,212,53191.07
2025-06-10,Email Marketing,222,19700.85
2025-06-10,Affiliate Partners,172,12858.45
2025-06-11,Google Ads,143,17973.28
2025-06-11,Meta Ads,211,17100.58
2025-06-11,LinkedIn Ads,31,7558.32
2025-06-11,Email Marketing,106,8274.83
2025-06-11,Affiliate Partners,276,20920.83
2025-06-12,Google Ads,444,56711.86
2025-06-12,Meta Ads,131,16081.75
2025-06-12,LinkedIn Ads,54,13029.67
2025-06-12,Email Marketing,106,7272.22
2025-06-12,Affiliate Partners,85,8223.96
2025-06-13,Google Ads,424,46226.82
2025-06-13,Meta Ads,155,14064.64
2025-06-13,LinkedIn Ads,107,25773.8
2025-06-13,Email Marketing,87,6496.0
2025-06-13,Affiliate Partners,117,12896.81
2025-06-14,Google Ads,506,57705.29
2025-06-14,Meta Ads,147,13996.37
2025-06-14,LinkedIn Ads,158,40342.94
2025-06-14,Email Marketing,34,2638.18
2025-06-14,Affiliate Partners,96,8498.07
2025-06-15,Google Ads,144,20223.14
2025-06-15,Meta Ads,185,25396.96
2025-06-15,LinkedIn Ads,38,9638.44
2025-06-15,Email Marketing,50,3914.86
2025-06-15,Affiliate Partners,262,28519.14
2025-06-16,Google Ads,196,18553.8
2025-06-16,Meta Ads,107,6459.34
2025-06-16,LinkedIn Ads,111,24311.64
2025-06-16,Email Marketing,67,2601.8
2025-06-16,Affiliate Partners,101,10569.72
2025-06-17,Google Ads,205,21944.76
2025-06-17,Meta Ads,276,24914.59
2025-06-17,LinkedIn Ads,53,12163.35
2025-06-17,Email Marketing,127,3738.13
2025-06-17,Affiliate Partners,116,8430.4
2025-06-18,Google Ads,462,55596.83
2025-06-18,Meta Ads,102,7672.96
2025-06-18,LinkedIn Ads,79,19656.31
2025-06-18,Email Marketing,98,6153.17
2025-06-18,Affiliate Partners,107,7729.1
2025-06-19,Google Ads,377,57510.99
2025-06-19,Meta Ads,34,2115.56
2025-06-19,LinkedIn Ads,79,18945.81
2025-06-19,Email Marketing,80,4662.61
2025-06-19,Affiliate Partners,365,37952.0
2025-06-20,Google Ads,247,32834.54
2025-06-20,Meta Ads,136,9891.65
2025-06-20,LinkedIn Ads,28,6660.06
2025-06-20,Email Marketing,134,10419.06
2025-06-20,Affiliate Partners,116,9241.2
2025-06-21,Google Ads,307,37782.91
2025-06-21,Meta Ads,103,6773.45
2025-06-21,LinkedIn Ads,82,21646.89
2025-06-21,Email Marketing,90,7245.95
2025-06-21,Affiliate Partners,129,10118.1
2025-06-22,Google Ads,355,38669.85
2025-06-22,Meta Ads,105,10174.93
2025-06-22,LinkedIn Ads,64,15021.09
2025-06-22,Email Marketing,102,9377.16
2025-06-22,Affiliate Partners,422,39849.38
2025-06-23,Google Ads,241,31630.89
2025-06-23,Meta Ads,159,12042.08
2025-06-23,LinkedIn Ads,81,19045.09
2025-06-23,Email Marketing,33,2403.72
2025-06-23,Affiliate Partners,47,2921.59
2025-06-24,Google Ads,487,62618.51
2025-06-24,Meta Ads,219,14659.03
2025-06-24,LinkedIn Ads,73,17761.69
2025-06-24,Email Marketing,213,13749.84
2025-06-24,Affiliate Partners,146,10829.52
2025-06-25,Google Ads,235,30433.66
2025-06-25,Meta Ads,171,19695.8
2025-06-25,LinkedIn Ads,20,5393.35
2025-06-25,Email Marketing,84,6963.08
2025-06-25,Affiliate Partners,170,16505.87
2025-06-26,Google Ads,360,37267.45
2025-06-26,Meta Ads,226,19955.3
2025-06-26,LinkedIn Ads,72,19333.53
2025-06-26,Email Marketing,49,3867.69
2025-06-26,Affiliate Partners,117,9128.04
2025-06-27,Google Ads,207,20181.81
2025-06-27,Meta Ads,355,39144.46
2025-06-27,LinkedIn Ads,55,13698.32
2025-06-27,Email Marketing,99,6493.05
2025-06-27,Affiliate Partners,181,13936.04
2025-06-28,Google Ads,368,50486.09
2025-06-28,Meta Ads,162,18367.86
2025-06-28,LinkedIn Ads,66,18113.35
2025-06-28,Email Marketing,68,4512.45
2025-06-28,Affiliate Partners,152,11123.07
2025-06-29,Google Ads,126,13971.55
2025-06-29,Meta Ads,380,39659.41
2025-06-29,LinkedIn Ads,225,57288.41
2025-06-29,Email Marketing,147,8347.94
2025-06-29,Affiliate Partners,407,28071.6
2025-06-30,Google Ads,264,30717.48
2025-06-30,Meta Ads,243,25771.48
2025-06-30,LinkedIn Ads,147,36505.66
2025-06-30,Email Marketing,156,10789.15
2025-06-30,Affiliate Partners,194,18113.69
